artist_popularity,followers,genres,id,name
44,23230,"['sertanejo', 'sertanejo pop', 'sertanejo tradicional', 'sertanejo universitario']",4mGnpjhqgx4RUdsIJiURdo,Juliano Cezar
22,313,[],1dLnVku4VQUOLswwDFvRc9,The Grenadines
26,1596,['danish pop rock'],6YVY310fjfUzKi8hiqR7iK,Gangway
31,149,['uk alternative pop'],2VElyouiCfoYPDJluzwJwK,FADES
21,11,['french baroque'],4agVy03qW8juSysCTUOuDI,Jean-Pierre Guignon
43,81,[],38VBjthd0szbS6wpDMafrb,Filhos
34,8358,[],36mHwYa65L0WZbAXY2iSGw,Eloq
7,158,[],1jJyy00XfxjB4tMAv5OT0q,Fravær
21,30,[],10A8WbBJ0zW8MnvTsUL6os,Camille Pépin
25,992,['classic finnish pop'],5ijoPCUhV0dW8EJ7aPGvXK,Pepe Willberg & The Paradise
4,44,[],7dUWZW268V8qlsGxBojhWx,Marie Bergman & Lasse Englund
53,373085,"['pagode', 'sertanejo', 'sertanejo pop', 'sertanejo tradicional', 'sertanejo universitario']",0ozdcqmICsOZDe7eJQVzrp,Rick & Renner
21,1,[],0GUBxLwTer6gJZcLNwRjLj,Fiona McGown
11,115,[],60uB6JvZMMLXgSbD70ExeO,Silhuetit
16,498,[],4uQXIJKWCNEGuauecNDFCT,Pligten Kalder
43,1029,[],2zYNTwc8lCUzPueFdmh8ta,BAER
21,3,[],6m099EAiKxVRkm2Go2XvRS,Ensemble Polygones
46,30344,['abstract hip hop'],4sH7SLGP6BLOYDtcP6Lm47,P.O.S
41,24922,"['sertanejo', 'sertanejo tradicional']",0wWNGmLoY3KEPBmaZ36EBu,Milionário & Marciano
34,644,[],69APTdcqAgiLyRm7kqvRCX,Lydia Liza
22,48,['classical cello'],3UpH11IocErqqk2szedYf5,Alain Meunier
26,37,[],0FnRDFBAHFbthcoIt3jjoD,Hard_R
52,250846,"['sertanejo', 'sertanejo tradicional', 'sertanejo universitario']",7HUHsmvWREkN4l179tvpBe,Chrystian & Ralf
42,17361,"['brega', 'sertanejo tradicional', 'velha guarda']",00rUMQMxPbr7jT7EBcs7sl,Agnaldo Timoteo
40,946,[],5Fxm01Q3h4d0JsKnVHnawz,Outr3ach
21,0,[],6CJCoqivxcdr8zlVeSsoH8,Reiko Tsuiki
44,29230,"['abstract hip hop', 'experimental hip hop', 'underground rap']",6PWRJs1FosHp8Cqx0Nmswj,Astronautalis
30,436,['minneapolis indie'],0QlLoZNKC35p4rWMyo3sEk,Eric Mayson
26,1504,['riot grrrl'],0NXQFDQVqS7ffqT8yLKUAM,Kathleen Hanna
18,118,[],5YjfNaHq05WrwldRe1QSBc,Brandon Mints
26,6,[],1y1QBVelGjWim8xAsRtQIr,Nicholas L. Perez
25,2972,[],5WMmQuQNYBIJ3HVrKFKaPg,Sad13
30,910,['minneapolis indie'],0p6NrdHl8dQQALGIqVcrjt,Sophia Eris
53,39458,"['diva house', 'hip house', 'urban contemporary', 'vocal house']",5UoVLCWzOKMIJ9iioof9OD,CeCe Peniston
20,402,['deep comedy'],33tSbtkaIaGVn4Nu6ZREmo,Dave Waite
3,39,[],5AgD3j3o11HOx2sRYquHW1,Railroad
21,543,[],4iLWP710maGNfMnfChDLLA,Michael Palascak
33,3659,['british comedy'],76GimhwWuzMJIsIPfpYw7c,Rhod Gilbert
30,2709,['deep dnb'],5Og6MsfuDPnFYd1asgHXdH,Vorso
17,1006,[],6wPKkOyTQnsgQDHIUwYW9W,Mike Armstrong
16,695,[],4SK9OzAA0K00NVsXAApeUJ,Queen Machine
17,584,[],4lYbjTstZe5eEx1OXknkh8,Josh Gondelman
34,181,[],1iZIgKdk4aQdTSupTIcRSQ,glasscat
46,20195,"['deep chiptune', 'filter house', 'montreal indie', 'retro electro']",5nrAu9uBcj8NcdZHo09qG9,Le Matos
62,262503,"['blues', 'blues-rock', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'modern blues', 'rock', 'roots rock']",06nsZ3qSOYZ2hPVIMcr1IN,J.J. Cale
40,10081,['british comedy'],7okniEZkjEUIZXNpsVKjI1,Frankie Boyle
14,164,[],4rF4i4F38q4SppARP95ftj,Tom Simmons
20,1743,[],3YPMYCdGVCZz2xLDUbR3TY,Nick Fiorucci
23,237,[],6DDNohapJwOaBOCWQanVvf,Branzei
58,575707,"['pagode', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']",6zpNfYJcPavd1pqLXKiSvl,Edson & Hudson
33,1875,['classical organ'],26hVc4pAHA9g5tO1bqEZ0k,Olivier Latry
41,14288,"['british comedy', 'comedy']",3hYaK5FF3YAglCj5HZgBnP,Jimmy Carr
